drug,disease,disease,score
D000069439,MESH:D006332,Cardiomegaly,0.904380739
D000069439,MESH:D006470,Hemorrhage,0.90434742
D000069439,MESH:D002295,"Carcinoma, Transitional Cell",0.902825534
D000069439,MESH:D018805,Sepsis,0.902192354
D000069439,MESH:D008223,Lymphoma,0.902087748
D000069439,MESH:D006333,Heart Failure,0.902018487
D000069439,MESH:D006331,Heart Diseases,0.901760399
D000069439,MESH:D002277,Carcinoma,0.901006162
D000069439,MESH:D002294,"Carcinoma, Squamous Cell",0.900940001
D000069439,MESH:D018487,"Ventricular Dysfunction, Left",0.900827467
D000069439,MESH:D002177,Candidiasis,0.900621533
D000069439,MESH:D002292,"Carcinoma, Renal Cell",0.900007665
D000069439,MESH:D009203,Myocardial Infarction,0.89980948
D000069439,MESH:D009062,Mouth Neoplasms,0.897843063
D000069439,MESH:D065626,Non-alcoholic Fatty Liver Disease,0.897694051
D000069439,MESH:D004409,"Dyskinesia, Drug-Induced",0.897597611
D000069439,MESH:D003072,Cognition Disorders,0.897325695
D000069439,MESH:D011565,Psoriasis,0.897093356
D000069439,MESH:D015658,HIV Infections,0.897072673
D000069439,MESH:D050171,Dyslipidemias,0.897008955
D000069439,MESH:D055370,Lung Injury,0.896710753
D000069439,MESH:D005910,Glioma,0.896220803
D000069439,MESH:D013203,Staphylococcal Infections,0.895877421
D000069439,MESH:D014839,Vomiting,0.894960403
D000069439,MESH:D011654,Pulmonary Edema,0.894848824
D000069439,MESH:D051437,Renal Insufficiency,0.894425273
D000069439,MESH:D007022,Hypotension,0.892019749
D000069439,MESH:D006937,Hypercholesterolemia,0.890734434
D000069439,MESH:D011041,Poisoning,0.888927221
D000069439,MESH:D009190,Myelodysplastic Syndromes,0.888646245
D000069439,MESH:D006965,Hyperplasia,0.888513446
D000069439,MESH:D013375,Substance Withdrawal Syndrome,0.888508499
D000069439,MESH:D003093,"Colitis, Ulcerative",0.888286829
D000069439,MESH:D010243,Paralysis,0.886572957
D000069439,MESH:D000544,Alzheimer Disease,0.886493683
D000069439,MESH:D017202,Myocardial Ischemia,0.886359692
D000069439,MESH:D001169,"Arthritis, Experimental",0.886193573
D000069439,MESH:D008114,"Liver Neoplasms, Experimental",0.885741591
D000069439,MESH:D004938,Esophageal Neoplasms,0.885476887
D000069439,MESH:D008881,Migraine Disorders,0.885352492
D000069439,MESH:D017379,"Hypertrophy, Left Ventricular",0.884698331
D000069439,MESH:D008325,"Mammary Neoplasms, Experimental",0.88394773
D000069439,MESH:D003967,Diarrhea,0.881337464
D000069439,MESH:D008107,Liver Diseases,0.880790949
D000069439,MESH:D000740,Anemia,0.880691528
D000069439,MESH:D019966,Substance-Related Disorders,0.880529284
D000069439,MESH:D008527,Medulloblastoma,0.880453944
D000069439,MESH:D002318,Cardiovascular Diseases,0.879999638
D000069439,MESH:D001172,"Arthritis, Rheumatoid",0.87844032
D000069439,MESH:D010538,Peritonitis,0.877288222
D000069439,MESH:D029424,"Pulmonary Disease, Chronic Obstructive",0.877197862
D000069439,MESH:D012878,Skin Neoplasms,0.876801014
D000069439,MESH:D002779,Cholestasis,0.87621069
D000069439,MESH:D055371,Acute Lung Injury,0.87542665
D000069439,MESH:D019954,Neurobehavioral Manifestations,0.874952316
D000069439,MESH:D012208,Rhabdomyosarcoma,0.873960793
D000069439,MESH:D003928,Diabetic Nephropathies,0.873100817
D000069439,MESH:D012772,"Shock, Septic",0.872953296
D000069439,MESH:D020734,Parkinsonian Disorders,0.872580469
D000069439,MESH:D007172,Erectile Dysfunction,0.872552931
D000069439,MESH:D012871,Skin Diseases,0.870310724
D000069439,MESH:D006529,Hepatomegaly,0.870080888
D000069439,MESH:D009404,Nephrotic Syndrome,0.870068252
D000069439,MESH:D013226,Status Epilepticus,0.869092822
D000069439,MESH:D001932,Brain Neoplasms,0.86886102
D000069439,MESH:D006526,Hepatitis C,0.868468165
D000069439,MESH:D001919,Bradycardia,0.867966115
D000069439,MESH:D012516,Osteosarcoma,0.867717803
D000069439,MESH:D058226,"Plaque, Atherosclerotic",0.867229342
D000069439,MESH:D007511,Ischemia,0.866919816
D000069439,MESH:D006949,Hyperlipidemias,0.866279483
D000069439,MESH:D020258,Neurotoxicity Syndromes,0.86448288
D000069439,MESH:D013927,Thrombosis,0.862649918
D000069439,MESH:D010024,Osteoporosis,0.862545252
D000069439,MESH:D001168,Arthritis,0.862386703
D000069439,MESH:D016889,Endometrial Neoplasms,0.862112224
D000069439,MESH:D014376,Tuberculosis,0.861865103
D000069439,MESH:D003920,Diabetes Mellitus,0.860811949
D000069439,MESH:D006940,Hyperemia,0.860612631
D000069439,MESH:D005911,Gliosis,0.86020112
D000069439,MESH:D017495,Hyperpigmentation,0.859097242
D000069439,MESH:D006258,Head and Neck Neoplasms,0.858573735
D000069439,MESH:D005921,Glomerulonephritis,0.858215451
D000069439,MESH:D008228,"Lymphoma, Non-Hodgkin",0.856936157
D000069439,MESH:D011183,Postoperative Complications,0.856319427
D000069439,MESH:D009447,Neuroblastoma,0.85628134
D000069439,MESH:D001145,"Arrhythmias, Cardiac",0.855951667
D000069439,MESH:D002545,Brain Ischemia,0.85581404
D000069439,MESH:D001327,Autoimmune Diseases,0.855780065
D000069439,MESH:D008654,Mesothelioma,0.855351269
D000069439,MESH:D029481,"Bronchitis, Chronic",0.852917969
D000069439,MESH:D019969,Amphetamine-Related Disorders,0.852884889
D000069439,MESH:D009164,Mycobacterium Infections,0.852843761
D000069439,MESH:D016778,"Malaria, Falciparum",0.852062583
D000069439,MESH:D006261,Headache,0.851493061
D000069439,MESH:D053201,"Urinary Bladder, Overactive",0.850328326
D000069439,MESH:D003550,Cystic Fibrosis,0.849647224
D000069439,MESH:D018450,Disease Progression,0.847441077
D000069439,MESH:D006335,Heart Injuries,0.84701705
D000069439,MESH:D006946,Hyperinsulinism,0.846463323
D000069439,MESH:D000086382,COVID-19,0.845860541
D000069439,MESH:D013272,Stomach Diseases,0.845639288
D000069439,MESH:D006976,"Hypertension, Pulmonary",0.845515668
D000069439,MESH:D020521,Stroke,0.845303893
D000069439,MESH:D010003,Osteoarthritis,0.845010221
D000069439,MESH:D006984,Hypertrophy,0.844647646
D000069439,MESH:D009069,Movement Disorders,0.843955398
D000069439,MESH:D003922,"Diabetes Mellitus, Type 1",0.843709409
D000069439,MESH:D054218,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,0.84233135
D000069439,MESH:D004381,Duodenal Ulcer,0.841541767
D000069439,MESH:D048629,"Micronuclei, Chromosome-Defective",0.840206385
D000069439,MESH:D064726,Triple Negative Breast Neoplasms,0.840123594
D000069439,MESH:D007683,"Kidney Tubular Necrosis, Acute",0.839638889
D000069439,MESH:D066126,Cardiotoxicity,0.839228868
D000069439,MESH:D014456,Ulcer,0.838407993
D000069439,MESH:D002289,"Carcinoma, Non-Small-Cell Lung",0.837753117
D000069439,MESH:D009503,Neutropenia,0.837618113
D000069439,MESH:D006975,"Hypertension, Portal",0.837563694
D000069439,MESH:D009393,Nephritis,0.837510467
D000069439,MESH:D007945,"Leukemia, Lymphoid",0.837116838
D000069439,MESH:D013733,Testicular Diseases,0.836318493
D000069439,MESH:D004719,Endomyocardial Fibrosis,0.832824051
D000069439,MESH:D010523,Peripheral Nervous System Diseases,0.832763493
D000069439,MESH:D007410,Intestinal Diseases,0.832556367
D000069439,MESH:D009395,"Nephritis, Interstitial",0.832325637
D000069439,MESH:D018908,Muscle Weakness,0.831999123
D000069439,MESH:D001249,Asthma,0.831908226
D000069439,MESH:D005923,"Glomerulosclerosis, Focal Segmental",0.831856787
D000069439,MESH:D014552,Urinary Tract Infections,0.829190969
D000069439,MESH:D001862,Bone Resorption,0.827844024
D000069439,MESH:D020078,Neurogenic Inflammation,0.826701105
D000069439,MESH:D011704,Pyelonephritis,0.826111913
D000069439,MESH:D019446,Endotoxemia,0.825632751
D000069439,MESH:D000855,Anorexia,0.824628532
D000069439,MESH:D007676,"Kidney Failure, Chronic",0.823206842
D000069439,MESH:D003556,Cystitis,0.822969735
D000069439,MESH:D024821,Metabolic Syndrome,0.822940588
D000069439,MESH:D050197,Atherosclerosis,0.822550714
D000069439,MESH:D007970,Leukopenia,0.822518289
D000069439,MESH:D059226,Nociceptive Pain,0.821431279
D000069439,MESH:D000505,Alopecia,0.820853412
D000069439,MESH:D012008,Recurrence,0.820798576
D000069439,MESH:D000077277,Esophageal Squamous Cell Carcinoma,0.819507897
D000069439,MESH:D008105,"Liver Cirrhosis, Biliary",0.819466174
D000069439,MESH:D014890,Granulomatosis with Polyangiitis,0.819234073
D000069439,MESH:D014947,Wounds and Injuries,0.817791641
D000069439,MESH:D007690,Polycystic Kidney Diseases,0.816239536
D000069439,MESH:D055752,Small Cell Lung Carcinoma,0.815715432
D000069439,MESH:D005119,Extravasation of Diagnostic and Therapeutic Materials,0.815072358
D000069439,MESH:D019957,Motor Skills Disorders,0.813748181
D000069439,MESH:D008171,Lung Diseases,0.812793553
D000069439,MESH:D048909,Diabetes Complications,0.81184411
D000069439,MESH:D002583,Uterine Cervical Neoplasms,0.811565042
D000069439,MESH:D012128,Respiratory Distress Syndrome,0.811422229
D000069439,MESH:D008288,Malaria,0.811361492
D000069439,MESH:D000402,Airway Obstruction,0.811105967
D000069439,MESH:D012141,Respiratory Tract Infections,0.810545385
D000069439,MESH:D006086,Graft vs Host Disease,0.809572875
D000069439,MESH:D013163,Splenomegaly,0.808997631
D000069439,MESH:D020257,Ventricular Remodeling,0.808832228
D000069439,MESH:D001201,Ascites,0.808688462
D000069439,MESH:D008546,"Melanoma, Experimental",0.808649361
D000069439,MESH:D003872,Dermatitis,0.807771206
D000069439,MESH:D020244,"Infarction, Middle Cerebral Artery",0.80732435
D000069439,MESH:D004751,Enteritis,0.805937111
D000069439,MESH:D008180,"Lupus Erythematosus, Systemic",0.805083275
D000069439,MESH:D011537,Pruritus,0.804146051
D000069439,MESH:D002311,"Cardiomyopathy, Dilated",0.803655028
D000069439,MESH:D000077192,Adenocarcinoma of Lung,0.803412318
D000069439,MESH:D020522,"Lymphoma, Mantle-Cell",0.803185523
D000069439,MESH:D001161,Arteriosclerosis,0.802473843
D000069439,MESH:D019694,"Hepatitis B, Chronic",0.801807106
D000069439,MESH:D001927,Brain Diseases,0.801552474
D000069439,MESH:D011230,Precancerous Conditions,0.801234841
D000069439,MESH:D002312,"Cardiomyopathy, Hypertrophic",0.798644185
D000069439,MESH:D012513,"Sarcoma, Experimental",0.798027396
D000069439,MESH:D016393,"Lymphoma, B-Cell",0.797953486
D000069439,MESH:D013923,Thromboembolism,0.797503471
D000069439,MESH:D006561,Herpes Simplex,0.797382236
D000069439,MESH:D007248,"Infertility, Male",0.797368765
D000069439,MESH:D006505,Hepatitis,0.797015667
D000069439,MESH:D005767,Gastrointestinal Diseases,0.796824276
D000069439,MESH:D007898,"Leishmaniasis, Visceral",0.796161234
D000069439,MESH:D009422,Nervous System Diseases,0.796133339
D000069439,MESH:D003930,Diabetic Retinopathy,0.794843316
D000069439,MESH:D010518,Periodontitis,0.794822693
D000069439,MESH:D014652,Vascular Diseases,0.794710577
D000069439,MESH:D001281,Atrial Fibrillation,0.794186771
D000069439,MESH:D001284,Atrophy,0.793723702
D000069439,MESH:D013345,Subarachnoid Hemorrhage,0.793179512
D000069439,MESH:D012859,Sjogren's Syndrome,0.792250812
D000069439,MESH:D009437,Neuralgia,0.792190731
D000069439,MESH:D005235,"Fatty Liver, Alcoholic",0.791981339
D000069439,MESH:D048550,Hepatic Insufficiency,0.789581597
D000069439,MESH:D001259,Ataxia,0.789391816
D000069439,MESH:D009127,Muscle Rigidity,0.789356232
D000069439,MESH:D003866,Depressive Disorder,0.788761795
D000069439,MESH:D009103,Multiple Sclerosis,0.787428796
D000069439,MESH:D000860,Hypoxia,0.787046075
D000069439,MESH:D019457,Chromosome Breakage,0.785826981
D000069439,MESH:D018500,"Diabetes Insipidus, Nephrogenic",0.785515308
D000069439,MESH:D001528,Behcet Syndrome,0.785147369
D000069439,MESH:D010300,Parkinson Disease,0.785081029
D000069439,MESH:D020820,Dyskinesias,0.784154892
D000069439,MESH:D016399,"Lymphoma, T-Cell",0.783506215
D000069439,MESH:D006073,Gout,0.783116043
D000069439,MESH:D007251,"Influenza, Human",0.781553686
D000069439,MESH:D013964,Thyroid Neoplasms,0.781510174
D000069439,MESH:D012852,Sinusitis,0.780587316
D000069439,MESH:D001929,Brain Edema,0.779833257
D000069439,MESH:D017093,Liver Failure,0.779785335
D000069439,MESH:D013610,Tachycardia,0.779682517
D000069439,MESH:D009376,"Neoplasms, Hormone-Dependent",0.778204143
D000069439,MESH:D004802,Eosinophilia,0.777978897
D000069439,MESH:D016535,Bronchial Hyperreactivity,0.777654469
D000069439,MESH:D016736,Antiphospholipid Syndrome,0.777426839
D000069439,MESH:D062787,Drug Overdose,0.777364671
D000069439,MESH:D003424,Crohn Disease,0.777203977
D000069439,MESH:D018476,Hypokinesia,0.776896298
D000069439,MESH:D002386,Cataract,0.775951564
D000069439,MESH:D018352,Coronavirus Infections,0.774833918
D000069439,MESH:D018754,Ventricular Dysfunction,0.774001718
D000069439,MESH:D011085,Polycystic Ovary Syndrome,0.773049235
D000069439,MESH:D001778,Blood Coagulation Disorders,0.772838473
D000069439,MESH:D013118,Spinal Cord Diseases,0.771848857
D000069439,MESH:D019636,Neurodegenerative Diseases,0.770858943
D000069439,MESH:D004681,"Encephalomyelitis, Autoimmune, Experimental",0.769957066
D000069439,MESH:D014123,Toxoplasmosis,0.769677758
D000069439,MESH:D012595,"Scleroderma, Systemic",0.769560575
D000069439,MESH:D010437,Peptic Ulcer,0.768933833
D000069439,MESH:D013119,Spinal Cord Injuries,0.768452466
D000069439,MESH:D010182,Pancreatic Diseases,0.767255306
D000069439,MESH:D020262,"Mercury Poisoning, Nervous System",0.767255187
D000069439,MESH:D019956,Stereotypic Movement Disorder,0.766552508
D000069439,MESH:D009325,Nausea,0.766517401
D000069439,MESH:D003324,Coronary Artery Disease,0.766112566
D000069439,MESH:D045169,Severe Acute Respiratory Syndrome,0.765902519
D000069439,MESH:D017180,"Tachycardia, Ventricular",0.765467763
D000069439,MESH:D001847,Bone Diseases,0.764714301
D000069439,MESH:D002543,Cerebral Hemorrhage,0.763042808
D000069439,MESH:D008173,"Lung Diseases, Obstructive",0.762309253
D000069439,MESH:D013921,Thrombocytopenia,0.761754632
D000069439,MESH:D000648,"Amnesia, Retrograde",0.761516869
D000069439,MESH:D003877,"Dermatitis, Contact",0.761009872
D000069439,MESH:D000077195,Squamous Cell Carcinoma of Head and Neck,0.760824561
D000069439,MESH:D001170,"Arthritis, Infectious",0.760451853
D000069439,MESH:D015451,"Leukemia, Lymphocytic, Chronic, B-Cell",0.760198236
D000069439,MESH:D017088,AIDS-Related Opportunistic Infections,0.76007539
D000069439,MESH:D013035,Spasm,0.759864688
D000069439,MESH:D000072660,Teratozoospermia,0.757871032
D000069439,MESH:D020246,Venous Thrombosis,0.757052481
D000069439,MESH:D011832,Radiation Injuries,0.756623328
D000069439,MESH:D007896,Leishmaniasis,0.756497979
D000069439,MESH:D009135,Muscular Diseases,0.754025221
D000069439,MESH:D014581,Urticaria,0.753385842
D000069439,MESH:D053627,Asthenozoospermia,0.752527416
D000069439,MESH:D000799,Angioedema,0.752123535
D000069439,MESH:D054058,Acute Coronary Syndrome,0.751355171
D000069439,MESH:D013585,Synovitis,0.74995625
D000069439,MESH:D007154,Immune System Diseases,0.749407589
D000069439,MESH:D000236,Adenoma,0.749325514
D000069439,MESH:D004715,Endometriosis,0.748464465
D000069439,MESH:D000707,Anaphylaxis,0.747770488
D000069439,MESH:D005770,Gastrointestinal Neoplasms,0.747726619
D000069439,MESH:D014717,Vertigo,0.747235417
D000069439,MESH:D009401,Nephrosis,0.746888518
D000069439,MESH:D001008,Anxiety Disorders,0.746467471
D000069439,MESH:D011141,Polyuria,0.746123433
D000069439,MESH:D001321,Autistic Disorder,0.74560672
D000069439,MESH:D000163,Acquired Immunodeficiency Syndrome,0.745531559
D000069439,MESH:D006501,Hepatic Encephalopathy,0.745189965
D000069439,MESH:D006317,"Hearing Loss, Noise-Induced",0.745011926
D000069439,MESH:D014202,Tremor,0.744974256
D000069439,MESH:D002544,Cerebral Infarction,0.744037807
D000069439,MESH:D015228,Hypertriglyceridemia,0.743760407
D000069439,MESH:D010212,Papilloma,0.743162036
D000069439,MESH:D006934,Hypercalcemia,0.742577195
D000069439,MESH:D002493,Central Nervous System Diseases,0.741232514
D000069439,MESH:D010493,Pericarditis,0.741208792
D000069439,MESH:D009845,Oligospermia,0.74073261
D000069439,MESH:D010409,Penile Diseases,0.74010694
D000069439,MESH:D006504,Hepatic Veno-Occlusive Disease,0.738852799
D000069439,MESH:D019698,"Hepatitis C, Chronic",0.73596108
D000069439,MESH:D016481,Helicobacter Infections,0.735609889
D000069439,MESH:D000756,"Anemia, Sideroblastic",0.734682798
D000069439,MESH:D013167,"Spondylitis, Ankylosing",0.734384656
D000069439,MESH:D017449,"Dermatitis, Allergic Contact",0.733565688
D000069439,MESH:D012509,Sarcoma,0.733527064
D000069439,MESH:D000787,Angina Pectoris,0.733399272
D000069439,MESH:D015535,"Arthritis, Psoriatic",0.733135998
D000069439,MESH:D000686,Amyloidosis,0.732655942
D000069439,MESH:D055728,Primary Myelofibrosis,0.731616795
D000069439,MESH:D054556,Venous Thromboembolism,0.730924129
D000069439,MESH:D017380,"Hypertrophy, Right Ventricular",0.730262995
D000069439,MESH:D003929,Diabetic Neuropathies,0.730155408
D000069439,MESH:D004890,Erythema,0.729441524
D000069439,MESH:D012216,Rheumatic Diseases,0.728772938
D000069439,MESH:D018088,"Tuberculosis, Multidrug-Resistant",0.726510406
D000069439,MESH:D015477,"Leukemia, Myelomonocytic, Chronic",0.726359665
D000069439,MESH:D017114,"Liver Failure, Acute",0.725007057
D000069439,MESH:D006977,"Hypertension, Renal",0.72483331
D000069439,MESH:D001859,Bone Neoplasms,0.724777937
D000069439,MESH:D009134,"Muscular Atrophy, Spinal",0.724462152
D000069439,MESH:D008575,Meniere Disease,0.724425852
D000069439,MESH:D003371,Cough,0.723577261
D000069439,MESH:D006816,Huntington Disease,0.723214447
D000069439,MESH:D010488,Polyarteritis Nodosa,0.722587705
D000069439,MESH:D018827,"Carcinoma, Lewis Lung",0.72154671
D000069439,MESH:D034381,Hearing Loss,0.721105695
D000069439,MESH:D012131,Respiratory Insufficiency,0.720472991
D000069439,MESH:D062025,Organophosphate Poisoning,0.720259428
D000069439,MESH:D016410,"Lymphoma, T-Cell, Cutaneous",0.71938318
D000069439,MESH:D008590,Meningoencephalitis,0.718734443
D000069439,MESH:D010292,Paresthesia,0.718725681
D000069439,MESH:D006974,"Hypertension, Malignant",0.718033195
D000069439,MESH:D007565,Jaundice,0.717948377
D000069439,MESH:D007035,Hypothermia,0.716698289
D000069439,MESH:D058065,Diabetic Cardiomyopathies,0.716242135
D000069439,MESH:D001157,Arterial Occlusive Diseases,0.715892434
D000069439,MESH:D003876,"Dermatitis, Atopic",0.71553719
D000069439,MESH:D066253,Vascular Remodeling,0.714505911
D000069439,MESH:D012851,"Sinus Thrombosis, Intracranial",0.713907003
D000069439,MESH:D015861,Retinal Neovascularization,0.713585079
D000069439,MESH:D002471,"Cell Transformation, Neoplastic",0.713235021
D000069439,MESH:D007889,Leiomyoma,0.712119341
D000069439,MESH:D045743,"Scleroderma, Diffuse",0.712050796
D000069439,MESH:D002051,Burkitt Lymphoma,0.711205125
D000069439,MESH:D010149,"Pain, Postoperative",0.710824311
D000069439,MESH:D000690,Amyotrophic Lateral Sclerosis,0.709976792
D000069439,MESH:D009400,Nephrosclerosis,0.708489418
D000069439,MESH:D012559,Schizophrenia,0.708171904
D000069439,MESH:D006679,HIV Seropositivity,0.707470417
D000069439,MESH:D007414,Intestinal Neoplasms,0.706742883
D000069439,MESH:D006950,"Hyperlipidemia, Familial Combined",0.706533849
D000069439,MESH:D013920,"Thrombocythemia, Essential",0.706373751
D000069439,MESH:D001791,Blood Platelet Disorders,0.70534718
D000069439,MESH:D005207,Fasciculation,0.704460144
D000069439,MESH:D001018,Aortic Diseases,0.704361022
D000069439,MESH:D003480,Cushing Syndrome,0.704357266
D000069439,MESH:D002869,Chromosome Aberrations,0.703832388
D000069439,MESH:D006471,Gastrointestinal Hemorrhage,0.7038185
D000069439,MESH:D000152,Acne Vulgaris,0.703803837
D000069439,MESH:D015210,"Arthritis, Gouty",0.703700781
D000069439,MESH:D012512,"Sarcoma, Ewing",0.702699661
D000069439,MESH:D005756,Gastritis,0.701485038
D000069439,MESH:D009133,Muscular Atrophy,0.700700462
D000069439,MESH:D005764,Gastroesophageal Reflux,0.700615287
D000069439,MESH:D009181,Mycoses,0.699017286
D000069439,MESH:D014693,Ventricular Fibrillation,0.698528171
D000069439,MESH:D005317,Fetal Growth Retardation,0.696886659
D000069439,MESH:D007680,Kidney Neoplasms,0.696880221
D000069439,MESH:D011015,"Pneumonia, Aspiration",0.695864975
D000069439,MESH:D005393,Fish Diseases,0.694767952
D000069439,MESH:D011618,Psychotic Disorders,0.694716215
D000069439,MESH:D018771,Arthralgia,0.69339031
D000069439,MESH:D016543,Central Nervous System Neoplasms,0.693176866
D000069439,MESH:D020520,Brain Infarction,0.69200778
D000069439,MESH:D020301,"Vasospasm, Intracranial",0.691984296
D000069439,MESH:D020083,Acquired Hyperostosis Syndrome,0.690398157
D000069439,MESH:D002056,Burns,0.689807296
D000069439,MESH:D033461,Hyperuricemia,0.689403176
D000069439,MESH:D007964,Leukocytosis,0.688827038
D000069439,MESH:D006506,Hepatitis A,0.688606679
D000069439,MESH:D065631,"Rhinitis, Allergic",0.688386083
D000069439,MESH:D015746,Abdominal Pain,0.687235057
D000069439,MESH:D011470,Prostatic Hyperplasia,0.686349034
D000069439,MESH:D001745,Urinary Bladder Diseases,0.685542405
D000069439,MESH:D009207,Myoclonus,0.685355365
D000069439,MESH:D001651,"Cholestasis, Extrahepatic",0.684642553
D000069439,MESH:D010264,Paraplegia,0.684011042
D000069439,MESH:D003711,Demyelinating Diseases,0.682802498
D000069439,MESH:D003645,"Death, Sudden",0.682353437
D000069439,MESH:D020181,"Sleep Apnea, Obstructive",0.682192087
D000069439,MESH:D015212,Inflammatory Bowel Diseases,0.681055069
D000069439,MESH:D000083242,Ischemic Stroke,0.680968225
D000069439,MESH:D012220,Rhinitis,0.68034637
D000069439,MESH:D016769,Embolism and Thrombosis,0.680321634
D000069439,MESH:D002100,Cachexia,0.678915501
D000069439,MESH:D009205,Myocarditis,0.678111792
D000069439,MESH:D002780,"Cholestasis, Intrahepatic",0.677376866
D000069439,MESH:D009364,"Neoplasm Recurrence, Local",0.677099586
D000069439,MESH:D002637,Chest Pain,0.676047683
D000069439,MESH:D011472,Prostatitis,0.675669491
D000069439,MESH:D004417,Dyspnea,0.674686313
D000069439,MESH:D015459,"Leukemia-Lymphoma, Adult T-Cell",0.672532499
D000069439,MESH:D011655,Pulmonary Embolism,0.672492564
D000069439,MESH:D007010,Hyponatremia,0.671291113
D000069439,MESH:D001167,Arteritis,0.671179175
D000069439,MESH:D020795,Photophobia,0.670677125
D000069439,MESH:D003328,Coronary Thrombosis,0.668771923
D000069439,MESH:D001254,Astrocytoma,0.668489099
D000069439,MESH:D014517,Ureteral Obstruction,0.6682989
D000069439,MESH:D018358,Neuroendocrine Tumors,0.668157816
D000069439,MESH:D002481,Cellulitis,0.667886019
D000069439,MESH:D018316,Gliosarcoma,0.667390466
D000069439,MESH:D006951,Hyperlipoproteinemias,0.667218566
D000069439,MESH:D007918,Leprosy,0.664429665
D000069439,MESH:D004942,"Esophagitis, Peptic",0.663514435
D000069439,MESH:D064129,"Prostatic Neoplasms, Castration-Resistant",0.663487256
D000069439,MESH:D058426,Neointima,0.663249016
D000069439,MESH:D017544,"Aortic Aneurysm, Abdominal",0.663016915
D000069439,MESH:D006689,Hodgkin Disease,0.662845612
D000069439,MESH:D014511,Uremia,0.662684083
D000069439,MESH:D019851,Thrombophilia,0.662414193
D000069439,MESH:D003384,Coxsackievirus Infections,0.662368774
